time,CH1,CH2,REF1,REF2
   0.000057,  -0.880000,   1.000000,  -1.360000,   1.600000
   0.000057,  -0.880000,   1.000000,  -1.360000,   1.600000
   0.000058,  -0.880000,   1.000000,  -1.440000,   1.600000
   0.000058,  -0.880000,   1.000000,  -1.440000,   1.600000
   0.000058,  -0.960000,   1.000000,  -1.520000,   1.600000
   0.000058,  -0.960000,   1.000000,  -1.520000,   1.600000
   0.000059,  -0.960000,   1.000000,  -1.520000,   1.600000
   0.000059,  -0.960000,   0.800000,  -1.600000,   1.600000
   0.000059,  -1.040000,   0.800000,  -1.600000,   1.400000
   0.000059,  -1.040000,   0.800000,  -1.680000,   1.400000
   0.000060,  -1.040000,   0.800000,  -1.680000,   1.400000
   0.000060,  -1.040000,   0.800000,  -1.680000,   1.400000
   0.000060,  -1.040000,   0.800000,  -1.760000,   1.400000
   0.000061,  -1.040000,   0.800000,  -1.760000,   1.400000
   0.000061,  -1.120000,   0.800000,  -1.760000,   1.400000
   0.000061,  -1.120000,   0.800000,  -1.840000,   1.200000
   0.000061,  -1.120000,   0.800000,  -1.840000,   1.200000
   0.000061,  -1.120000,   0.800000,  -1.840000,   1.200000
   0.000062,  -1.120000,   0.800000,  -1.920000,   1.200000
   0.000062,  -1.200000,   0.800000,  -1.920000,   1.200000
   0.000062,  -1.120000,   0.800000,  -1.920000,   1.200000
   0.000063,  -1.200000,   0.600000,  -1.920000,   1.200000
   0.000063,  -1.200000,   0.600000,  -2.000000,   1.200000
   0.000063,  -1.200000,   0.800000,  -2.000000,   1.200000
   0.000063,  -1.200000,   0.600000,  -2.000000,   1.000000
   0.000063,  -1.280000,   0.600000,  -2.080000,   1.000000
   0.000064,  -1.280000,   0.600000,  -2.080000,   1.000000
   0.000064,  -1.280000,   0.600000,  -2.080000,   1.000000
   0.000064,  -1.280000,   0.600000,  -2.080000,   1.000000
   0.000064,  -1.280000,   0.600000,  -2.160000,   1.000000
   0.000065,  -1.280000,   0.600000,  -2.160000,   1.000000
   0.000065,  -1.280000,   0.600000,  -2.160000,   0.800000
   0.000065,  -1.280000,   0.600000,  -2.160000,   0.800000
   0.000065,  -1.280000,   0.400000,  -2.240000,   0.800000
   0.000066,  -1.280000,   0.400000,  -2.240000,   0.800000
   0.000066,  -1.360000,   0.400000,  -2.240000,   0.800000
   0.000066,  -1.360000,   0.400000,  -2.240000,   0.800000
   0.000067,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000067,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000067,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000067,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000068,  -1.360000,   0.400000,  -2.320000,   0.600000
